,k,v
0,今日は何の日,7月3日
1,1,今日は何の日 7月3日
2,2,ユーグ・カペーがフランス王に即位（987年）
3,3,アメリカ独立戦争: ジョージ・ワシントンが大陸軍司令官に就任（1775年）
4,4,オオウミガラスが絶滅（1844年）
5,5,南北戦争：ゲティスバーグの戦い（1863年）
6,6,『サイエンス』創刊（1880年）
7,7,普墺戦争: ケーニヒグレーツの戦い（1866年）
8,8,青年トルコ人革命（1908年）
9,9,特別高等警察が設置（1928年）
10,10,朝鮮排華事件:朝鮮半島で華僑が排撃。日本本土でも華僑排撃に発展（1931年）
11,11,フォルクスワーゲン・タイプ1（ビートル）発表（1938年）
12,12,第二次世界大戦：メルセルケビール海戦（1942年）
13,13,第二次世界大戦：ビルマの戦いで大本営がインパール作戦の中止を命令（1944年）
14,14,アルジェリア独立（1962年）
15,15,エイズの発見（1981年）
16,16,イラン航空655便撃墜事件（1988年）
17,from:,https://ja.wikipedia.org/wiki/Wikipedia:%E4%BB%8A%E6%97%A5%E3%81%AF%E4%BD%95%E3%81%AE%E6%97%A5_7%E6%9C%88
